item_id|employee_id|date|quantity_before|quantity_after
10195|10018|1275499809|181|178
10121|10017|1347086143|120|170
10076|10011|1398107850|214|161
10263|10005|1207131512|210|143
10077|10028|1247065906|156|53
10169|10007|1316335374|84|196
10288|10029|1310198873|195|129
10244|10045|1299001764|181|107
10125|10013|1396290423|223|137
10208|10005|1302206211|73|184
10122|10029|1399306374|65|162
10041|10025|1258231795|148|54
10057|10019|1300502006|224|122
10147|10031|1364171576|123|163
10267|10013|1405524718|130|85
10040|10041|1376760788|199|122
10104|10039|1387907927|130|127
10081|10002|1303371124|97|208
10135|10024|1302596450|176|134
10064|10000|1399923634|74|191
10055|10002|1371684354|76|98
10078|10040|1433714332|199|77
10264|10004|1298026732|103|97
10259|10001|1361750058|107|116
10144|10040|1286778150|186|61
10121|10028|1426329052|201|127
10297|10023|1256991010|74|214
10297|10002|1268304878|189|58
10123|10029|1346276902|164|128
10273|10034|1392563666|186|175
10291|10019|1285488684|119|112
10172|10011|1443091172|130|140
10000|10045|1256209719|72|165
10080|10022|1272987663|190|96
10001|10043|1355692845|211|110
10203|10037|1243270383|129|97
10055|10016|1257407637|171|81
10166|10046|1241762931|159|162
10244|10029|1250824194|69|158
10178|10032|1350112259|80|229
10016|10002|1355096238|61|158
10228|10022|1443965471|228|221
10159|10040|1386722604|217|117
10223|10011|1369124867|84|200
10057|10024|1227138139|138|54
10187|10021|1229722597|226|231
10233|10002|1432916877|179|168
10183|10026|1273143506|97|144
10036|10035|1322966105|87|59
10195|10023|1235244338|179|142
10164|10001|1268929534|199|85
10187|10038|1206588529|167|56
10089|10039|1256972604|69|50
10144|10015|1323904379|197|51
10190|10020|1225916923|105|187
10024|10027|1332466518|189|67
10247|10021|1305999093|101|105
10209|10035|1438143713|143|128
10064|10043|1349923556|111|119
10286|10025|1428799860|227|139
10072|10011|1413486657|87|128
10177|10006|1429625219|105|69
10182|10027|1344945703|91|204
10219|10027|1295863707|62|166
10063|10024|1400161607|100|84
10138|10018|1346703809|124|72
10200|10020|1237107800|87|76
10180|10003|1266566681|178|208
10259|10033|1423438066|102|52
10131|10004|1403127697|115|137
10035|10003|1362613900|177|72
10221|10045|1296780423|74|86
10023|10004|1376834927|113|164
10007|10002|1267295865|104|89
10163|10037|1441652714|189|114
10221|10046|1217554718|59|175
10246|10034|1416103714|60|150
10140|10026|1228877763|48|79
10249|10027|1415782772|144|205
10148|10027|1236994637|106|138
10203|10021|1332378112|190|213
10114|10044|1376091068|120|203
10000|10040|1364146085|113|171
10172|10012|1342321861|110|131
10195|10027|1228035893|167|52
10045|10017|1252336396|167|159
10099|10036|1258366104|161|125
10117|10037|1364635158|148|167
10010|10023|1323921440|61|123
10050|10007|1393443520|53|219
10255|10030|1437395057|210|158
10108|10041|1355742245|102|189
10102|10020|1221128043|146|69
